CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
time to create lock object: 797ns
time to acquire read lock : 85.36022ms
time to release read lock : 65.49596ms
time to acquire read lock : 89.446564ms
time to release read lock : 61.995925ms
time to acquire read lock : 181.340394ms
time to release read lock : 47.748205ms
time to acquire read lock : 115.999003ms
time to release read lock : 50.766733ms
time to acquire read lock : 66.633075ms
time to release read lock : 41.747349ms
time to acquire read lock : 191.973371ms
time to release read lock : 55.953032ms
time to acquire read lock : 100.335808ms
time to release read lock : 53.253467ms
time to acquire read lock : 85.232474ms
time to release read lock : 28.120544ms
time to acquire read lock : 80.141452ms
time to release read lock : 30.904494ms
time to acquire read lock : 85.93044ms
time to release read lock : 49.960478ms
time to acquire read lock : 114.885421ms
time to release read lock : 64.92424ms
time to acquire read lock : 107.091051ms
time to release read lock : 109.26413ms
time to acquire read lock : 115.13193ms
time to release read lock : 65.276776ms
time to acquire read lock : 155.791093ms
time to release read lock : 58.149692ms
time to acquire read lock : 99.077212ms
time to release read lock : 51.524292ms
time to acquire read lock : 316.773473ms
time to release read lock : 72.96899ms
time to acquire read lock : 117.101653ms
time to release read lock : 55.305824ms
time to acquire read lock : 103.1648ms
time to release read lock : 56.216887ms
time to acquire read lock : 90.253054ms
time to release read lock : 50.919904ms
time to acquire read lock : 116.206418ms
time to release read lock : 50.91211ms
time to acquire read lock : 146.300956ms
time to release read lock : 74.510956ms
time to acquire read lock : 135.500965ms
time to release read lock : 58.006414ms
time to acquire read lock : 91.202072ms
time to release read lock : 26.195315ms
time to acquire read lock : 97.252267ms
time to release read lock : 47.498718ms
time to acquire read lock : 126.740583ms
time to release read lock : 50.220903ms
time to acquire read lock : 106.943091ms
time to release read lock : 51.649516ms
time to acquire read lock : 110.92169ms
time to release read lock : 36.8749ms
time to acquire read lock : 156.10615ms
time to release read lock : 39.345897ms
time to acquire read lock : 107.738974ms
time to release read lock : 120.01048ms
time to acquire read lock : 108.288671ms
time to release read lock : 24.763049ms
time to acquire read lock : 96.888891ms
time to release read lock : 41.78671ms
time to acquire read lock : 84.63403ms
time to release read lock : 36.832052ms
time to acquire read lock : 91.792622ms
time to release read lock : 84.003781ms
time to acquire read lock : 113.246866ms
time to release read lock : 24.338788ms
time to acquire read lock : 75.393516ms
time to release read lock : 31.138601ms
time to acquire read lock : 125.239105ms
time to release read lock : 33.806974ms
time to acquire read lock : 106.607228ms
time to release read lock : 40.833339ms
time to acquire read lock : 95.22958ms
time to release read lock : 52.28054ms
time to acquire read lock : 68.858162ms
time to release read lock : 32.352863ms
time to acquire read lock : 129.492118ms
